,Source.Name,trade_symbol,trade_interval,strategy,takeprofit,stoploss,entry_price,UTC_entry time,entry_time,close_price,close_time,win,win_percentage
161788,DYDXUSDT_15m_orders.xlsx,DYDXUSDT,15m,bearish_divergence,2,1.4,1.553,26/10/2022 07:15,1666768499999,1.595,1666792799999,0,-1.4
161788,DYDXUSDT_15m_orders.xlsx,DYDXUSDT,15m,bearish_divergence,2,1.4,1.553,26/10/2022 07:15,1666768499999,1.595,1666792799999,0,-1.4
382293,SPELLUSDT_15m_orders.xlsx,SPELLUSDT,15m,bearish_divergence,2,1.61,0.000857,26/10/2022 05:30,1666762199999,0.000874,1666799099999,0,-1.61
161788,DYDXUSDT_15m_orders.xlsx,DYDXUSDT,15m,bearish_divergence,2,1.4,1.553,26/10/2022 07:15,1666768499999,1.595,1666792799999,0,-1.4
120281,COTIUSDT_15m_orders.xlsx,COTIUSDT,15m,bearish_divergence,2,1.09,0.10349,26/10/2022 05:30,1666762199999,0.10499,1666773899999,0,-1.09
382293,SPELLUSDT_15m_orders.xlsx,SPELLUSDT,15m,bearish_divergence,2,1.61,0.000857,26/10/2022 05:30,1666762199999,0.000874,1666799099999,0,-1.61
161788,DYDXUSDT_15m_orders.xlsx,DYDXUSDT,15m,bearish_divergence,2,1.4,1.553,26/10/2022 07:15,1666768499999,1.595,1666792799999,0,-1.4
632,1000SHIBUSDT_15m_orders.xlsx,1000SHIBUSDT,15m,bearish_divergence,2,2.56,0.01037,26/10/2022 05:15,1666761299999,0.010748,1666780199999,0,-2.56
120281,COTIUSDT_15m_orders.xlsx,COTIUSDT,15m,bearish_divergence,2,1.09,0.10349,26/10/2022 05:30,1666762199999,0.10499,1666773899999,0,-1.09
382293,SPELLUSDT_15m_orders.xlsx,SPELLUSDT,15m,bearish_divergence,2,1.61,0.000857,26/10/2022 05:30,1666762199999,0.000874,1666799099999,0,-1.61
161788,DYDXUSDT_15m_orders.xlsx,DYDXUSDT,15m,bearish_divergence,2,1.4,1.553,26/10/2022 07:15,1666768499999,1.595,1666792799999,0,-1.4
386930,STGUSDT_15m_orders.xlsx,STGUSDT,15m,bearish_divergence,2,1.45,0.5024,26/10/2022 02:00,1666749599999,0.5108,1666773899999,0,-1.45
632,1000SHIBUSDT_15m_orders.xlsx,1000SHIBUSDT,15m,bearish_divergence,2,2.56,0.01037,26/10/2022 05:15,1666761299999,0.010748,1666780199999,0,-2.56
120281,COTIUSDT_15m_orders.xlsx,COTIUSDT,15m,bearish_divergence,2,1.09,0.10349,26/10/2022 05:30,1666762199999,0.10499,1666773899999,0,-1.09
382293,SPELLUSDT_15m_orders.xlsx,SPELLUSDT,15m,bearish_divergence,2,1.61,0.000857,26/10/2022 05:30,1666762199999,0.000874,1666799099999,0,-1.61
161788,DYDXUSDT_15m_orders.xlsx,DYDXUSDT,15m,bearish_divergence,2,1.4,1.553,26/10/2022 07:15,1666768499999,1.595,1666792799999,0,-1.4
168455,ENJUSDT_15m_orders.xlsx,ENJUSDT,15m,bearish_divergence,2,1.05,0.4411,25/10/2022 20:00,1666727999999,0.4504,1666773899999,0,-1.05
386930,STGUSDT_15m_orders.xlsx,STGUSDT,15m,bearish_divergence,2,1.45,0.5024,26/10/2022 02:00,1666749599999,0.5108,1666773899999,0,-1.45
632,1000SHIBUSDT_15m_orders.xlsx,1000SHIBUSDT,15m,bearish_divergence,2,2.56,0.01037,26/10/2022 05:15,1666761299999,0.010748,1666780199999,0,-2.56
120281,COTIUSDT_15m_orders.xlsx,COTIUSDT,15m,bearish_divergence,2,1.09,0.10349,26/10/2022 05:30,1666762199999,0.10499,1666773899999,0,-1.09
382293,SPELLUSDT_15m_orders.xlsx,SPELLUSDT,15m,bearish_divergence,2,1.61,0.000857,26/10/2022 05:30,1666762199999,0.000874,1666799099999,0,-1.61
161788,DYDXUSDT_15m_orders.xlsx,DYDXUSDT,15m,bearish_divergence,2,1.4,1.553,26/10/2022 07:15,1666768499999,1.595,1666792799999,0,-1.4
161789,DYDXUSDT_15m_orders.xlsx,DYDXUSDT,15m,bearish_divergence,2,1.39,1.633,26/10/2022 23:30,1666826999999,1.658,1666830599999,0,-1.39
280806,MASKUSDT_15m_orders.xlsx,MASKUSDT,15m,bearish_divergence,2,2.41,1.133,26/10/2022 23:30,1666826999999,1.172,1666840499999,0,-2.41
391026,STORJUSDT_15m_orders.xlsx,STORJUSDT,15m,bearish_divergence,2,1.51,0.4436,27/10/2022 07:00,1666853999999,0.4343,1666856699999,1,2.0
168458,ENJUSDT_15m_orders.xlsx,ENJUSDT,15m,bearish_divergence,2,1.86,0.4545,27/10/2022 07:30,1666855799999,0.4453,1666865699999,1,2.0
136709,DARUSDT_15m_orders.xlsx,DARUSDT,15m,bearish_divergence,2,1.74,0.2144,27/10/2022 12:15,1666872899999,0.2077,1666889099999,1,2.0
224682,IMXUSDT_15m_orders.xlsx,IMXUSDT,15m,bearish_divergence,2,2.84,0.6165,27/10/2022 15:45,1666885499999,0.6034,1666889999999,1,2.0
102341,C98USDT_15m_orders.xlsx,C98USDT,15m,bearish_divergence,2,1.16,0.3156,27/10/2022 11:00,1666868399999,0.3042,1666902599999,1,2.0
41916,ATOMUSDT_15m_orders.xlsx,ATOMUSDT,15m,bearish_divergence,2,1.81,12.993,27/10/2022 14:00,1666879199999,12.7,1666901699999,1,2.0
244452,KLAYUSDT_15m_orders.xlsx,KLAYUSDT,15m,bearish_divergence,2,5.61,0.2575,27/10/2022 16:00,1666886399999,0.2739,1666896299999,0,-5.61
386933,STGUSDT_15m_orders.xlsx,STGUSDT,15m,bearish_divergence,2,2.26,0.5325,27/10/2022 18:30,1666895399999,0.519,1666901699999,1,2.0
104376,CELOUSDT_15m_orders.xlsx,CELOUSDT,15m,bearish_divergence,2,4.28,0.716,27/10/2022 14:00,1666879199999,0.699,1666923299999,1,2.0
109607,CHRUSDT_15m_orders.xlsx,CHRUSDT,15m,bearish_divergence,2,2.81,0.1488,27/10/2022 14:00,1666879199999,0.1457,1666916999999,1,2.0
280809,MASKUSDT_15m_orders.xlsx,MASKUSDT,15m,bearish_divergence,2,3.96,1.359,27/10/2022 21:45,1666907099999,1.313,1666908899999,1,2.0
403910,THETAUSDT_15m_orders.xlsx,THETAUSDT,15m,bearish_divergence,2,1.65,1.134,28/10/2022 11:00,1666954799999,1.156,1666962899999,0,-1.65
161792,DYDXUSDT_15m_orders.xlsx,DYDXUSDT,15m,bearish_divergence,2,2.01,1.704,28/10/2022 14:00,1666965599999,1.744,1666967399999,0,-2.01
153300,DOGEUSDT_15m_orders.xlsx,DOGEUSDT,15m,bearish_divergence,2,1.47,0.08526,28/10/2022 16:00,1666972799999,0.0879,1666973699999,0,-1.47
153301,DOGEUSDT_15m_orders.xlsx,DOGEUSDT,15m,bearish_divergence,2,2.58,0.08622,28/10/2022 17:15,1666977299999,0.08313,1666982699999,1,2.0
280812,MASKUSDT_15m_orders.xlsx,MASKUSDT,15m,bearish_divergence,2,3.58,1.697,28/10/2022 21:00,1666990799999,1.662,1666993499999,1,2.0
395271,SUSHIUSDT_15m_orders.xlsx,SUSHIUSDT,15m,bearish_divergence,2,2.33,1.721,28/10/2022 18:15,1666980899999,1.686,1667002499999,1,2.0
427069,UNIUSDT_15m_orders.xlsx,UNIUSDT,15m,bearish_divergence,2,1.05,6.912,28/10/2022 21:00,1666990799999,6.743,1667006999999,1,2.0
