,Source.Name,trade_symbol,trade_interval,strategy,takeprofit,stoploss,entry_price,UTC_entry time,entry_time,close_price,close_time,win,win_percentage,action,position_count
467297,ZECUSDT_15m_orders.xlsx,ZECUSDT,15m,bearish_divergence_below_ema21,2,1.74,80.53,01/09/2020 11:15,1598958899999,83.37,1598977799999,0,-1.74,1,6
173246,EOSUSDT_15m_orders.xlsx,EOSUSDT,15m,bearish_divergence_below_ema21,2,1.22,3.315,01/09/2020 12:00,1598961599999,3.36,1598974199999,0,-1.22,1,5
181758,ETHUSDT_15m_orders.xlsx,ETHUSDT,15m,bearish_divergence_below_ema21,2,1.77,465.88,01/09/2020 14:15,1598969699999,479.98,1598973299999,0,-1.77,1,4
63354,BANDUSDT_15m_orders.xlsx,BANDUSDT,15m,bearish_divergence_below_ema21,2,2.49,14.4023,01/09/2020 16:30,1598977799999,14.7793,1598978699999,0,-2.49,1,2
442987,XLMUSDT_15m_orders.xlsx,XLMUSDT,15m,bearish_divergence_below_ema21,2,1.58,0.09958,01/09/2020 18:15,1598984099999,0.09756,1599019199999,1,2.0,1,1
177579,ETCUSDT_15m_orders.xlsx,ETCUSDT,15m,bearish_divergence_below_ema21,2,1.46,6.69,01/09/2020 18:30,1598984999999,6.808,1599003899999,0,-1.46,1,2
181761,ETHUSDT_15m_orders.xlsx,ETHUSDT,15m,bearish_divergence_below_ema21,2,2.18,476.17,01/09/2020 19:45,1598989499999,489.0,1598998499999,0,-2.18,1,3
272802,LTCUSDT_15m_orders.xlsx,LTCUSDT,15m,bearish_divergence_below_ema21,2,1.61,63.45,01/09/2020 19:45,1598989499999,64.5,1598999399999,0,-1.61,1,4
458085,XTZUSDT_15m_orders.xlsx,XTZUSDT,15m,bearish_divergence_below_ema21,2,2.05,3.398,01/09/2020 20:00,1598990399999,3.474,1598992199999,0,-2.05,1,5
63356,BANDUSDT_15m_orders.xlsx,BANDUSDT,15m,bearish_divergence_below_ema21,2,3.47,14.7883,01/09/2020 20:45,1598993099999,15.3611,1598998499999,0,-3.47,1,5
272805,LTCUSDT_15m_orders.xlsx,LTCUSDT,15m,bearish_divergence_below_ema21,2,1.69,63.41,01/09/2020 22:45,1599000299999,62.04,1599029099999,1,2.0,-1,-1
467300,ZECUSDT_15m_orders.xlsx,ZECUSDT,15m,bearish_divergence_below_ema21,2,2.1,84.4,01/09/2020 23:45,1599003899999,82.55,1599008399999,1,2.0,-1,-1
173248,EOSUSDT_15m_orders.xlsx,EOSUSDT,15m,bearish_divergence_below_ema21,2,2.39,3.475,02/09/2020 00:00,1599004799999,3.382,1599033599999,1,2.0,-1,-1
181764,ETHUSDT_15m_orders.xlsx,ETHUSDT,15m,bearish_divergence_below_ema21,2,2.8,475.61,02/09/2020 00:00,1599004799999,465.76,1599009299999,1,2.0,-1,-1
418030,TRXUSDT_15m_orders.xlsx,TRXUSDT,15m,bearish_divergence_below_ema21,2,5.67,0.0341,02/09/2020 00:45,1599007499999,0.03322,1599008399999,1,2.0,-1,-1
177581,ETCUSDT_15m_orders.xlsx,ETCUSDT,15m,bearish_divergence_below_ema21,2,1.38,6.715,02/09/2020 01:15,1599009299999,6.515,1599042599999,1,2.0,-1,-1
73148,BCHUSDT_15m_orders.xlsx,BCHUSDT,15m,bearish_divergence_below_ema21,2,3.01,288.93,02/09/2020 02:00,1599011999999,282.5,1599033599999,1,2.0,-1,-1
418032,TRXUSDT_15m_orders.xlsx,TRXUSDT,15m,bearish_divergence_below_ema21,2,4.39,0.0357,02/09/2020 08:15,1599034499999,0.03422,1599044399999,1,2.0,-1,-1
298220,NEOUSDT_15m_orders.xlsx,NEOUSDT,15m,bearish_divergence_below_ema21,2,4.18,18.973,04/09/2020 14:15,1599228899999,18.156,1599230699999,1,2.0,1,1
430356,VETUSDT_15m_orders.xlsx,VETUSDT,15m,bearish_divergence_below_ema21,2,2.94,0.014306,05/09/2020 02:45,1599273899999,0.013831,1599287399999,1,2.0,1,1
231179,IOTAUSDT_15m_orders.xlsx,IOTAUSDT,15m,bearish_divergence_below_ema21,2,2.0,0.2841,06/09/2020 18:15,1599416099999,0.2906,1599418799999,0,-2.0,1,1
86182,BNBUSDT_15m_orders.xlsx,BNBUSDT,15m,bearish_divergence_below_ema21,2,1.9,22.791,06/09/2020 20:30,1599424199999,23.243,1599428699999,0,-1.9,1,1
