,Source.Name,trade_symbol,trade_interval,strategy,takeprofit,stoploss,entry_price,UTC_entry time,entry_time,close_price,close_time,win,win_percentage,action,position_count
313727,OMGUSDT_15m_orders.xlsx,OMGUSDT,15m,bearish_divergence_below_rsi40,2,5.47,2.421,20/05/2022 06:30,1653028199999,2.368,1653060599999,1,2.0,0,-1
321761,ONTUSDT_15m_orders.xlsx,ONTUSDT,15m,bearish_divergence_below_rsi40,2,3.92,0.2695,20/05/2022 06:30,1653028199999,0.2824,1653044399999,0,-3.92,0,-1
329034,QTUMUSDT_15m_orders.xlsx,QTUMUSDT,15m,bearish_divergence_below_rsi40,2,5.03,3.867,20/05/2022 06:30,1653028199999,3.778,1653059699999,1,2.0,0,-1
338882,RENUSDT_15m_orders.xlsx,RENUSDT,15m,bearish_divergence_below_rsi40,2,2.9,0.1438,20/05/2022 06:30,1653028199999,0.1484,1653035399999,0,-2.9,0,-1
374135,SNXUSDT_15m_orders.xlsx,SNXUSDT,15m,bearish_divergence_below_rsi40,2,5.69,2.62,20/05/2022 06:30,1653028199999,2.567,1653059699999,1,2.0,0,-1
399215,SXPUSDT_15m_orders.xlsx,SXPUSDT,15m,bearish_divergence_below_rsi40,2,4.8,0.4402,20/05/2022 06:30,1653028199999,0.4656,1653038999999,0,-4.8,0,-1
414063,TRBUSDT_15m_orders.xlsx,TRBUSDT,15m,bearish_divergence_below_rsi40,2,4.8,10.9,20/05/2022 06:30,1653028199999,10.66,1653051599999,1,2.0,0,-1
472929,ZENUSDT_15m_orders.xlsx,ZENUSDT,15m,bearish_divergence_below_rsi40,2,4.66,20.409,20/05/2022 06:30,1653028199999,19.932,1653058799999,1,2.0,0,-1
112410,CHZUSDT_15m_orders.xlsx,CHZUSDT,15m,bearish_divergence_below_rsi40,2,4.75,0.1208,20/05/2022 06:45,1653029099999,0.12784,1653042599999,0,-4.75,1,10
153094,DOGEUSDT_15m_orders.xlsx,DOGEUSDT,15m,bearish_divergence_below_rsi40,2,2.69,0.08563,20/05/2022 06:45,1653029099999,0.08355,1653059699999,1,2.0,0,-1
244244,KLAYUSDT_15m_orders.xlsx,KLAYUSDT,15m,bearish_divergence_below_rsi40,2,3.36,0.4317,20/05/2022 06:45,1653029099999,0.4488,1653044399999,0,-3.36,0,-1
343312,RLCUSDT_15m_orders.xlsx,RLCUSDT,15m,bearish_divergence_below_rsi40,2,6.57,0.8834,20/05/2022 06:45,1653029099999,0.8649,1653061499999,1,2.0,0,-1
171561,ENSUSDT_15m_orders.xlsx,ENSUSDT,15m,bearish_divergence_below_rsi40,2,7.47,12.676,20/05/2022 07:30,1653031799999,12.205,1653064199999,1,2.0,1,9
423309,UNFIUSDT_15m_orders.xlsx,UNFIUSDT,15m,bearish_divergence_below_rsi40,2,9.73,2.254,20/05/2022 07:30,1653031799999,2.179,1653051599999,1,2.0,1,10
