,Source.Name,trade_symbol,trade_interval,strategy,takeprofit,stoploss,entry_price,UTC_entry time,entry_time,close_price,close_time,win,win_percentage
426307,UNIUSDT_15m_orders.xlsx,UNIUSDT,15m,bearish_divergence,2,3.36,36.0461,22/04/2021 05:30,1619069399999,37.3448,1619072999999,0,-3.36
182071,ETHUSDT_15m_orders.xlsx,ETHUSDT,15m,bearish_divergence,2,1.8,2452.79,22/04/2021 08:15,1619079299999,2501.47,1619085599999,0,-1.8
127245,CTKUSDT_15m_orders.xlsx,CTKUSDT,15m,bearish_divergence,2,3.57,2.402,22/04/2021 13:45,1619099099999,2.513,1619101799999,0,-3.57
378258,SOLUSDT_15m_orders.xlsx,SOLUSDT,15m,bearish_divergence,2,6.44,38.174,22/04/2021 19:15,1619118899999,37.2696,1619119799999,1,2.0
286715,MKRUSDT_15m_orders.xlsx,MKRUSDT,15m,bearish_divergence,2,3.84,4122.92,23/04/2021 17:00,1619197199999,3998.0,1619198099999,1,2.0
27818,ANKRUSDT_15m_orders.xlsx,ANKRUSDT,15m,bearish_divergence,2,3.62,0.130837,23/04/2021 17:45,1619199899999,0.137596,1619208899999,0,-3.62
435472,WAVESUSDT_15m_orders.xlsx,WAVESUSDT,15m,bearish_divergence,2,4.56,15.0462,23/04/2021 20:45,1619210699999,14.606,1619215199999,1,2.0
41065,ATOMUSDT_15m_orders.xlsx,ATOMUSDT,15m,bearish_divergence,2,1.55,20.202,24/04/2021 00:15,1619223299999,19.714,1619224199999,1,2.0
68315,BATUSDT_15m_orders.xlsx,BATUSDT,15m,bearish_divergence,2,4.19,1.1287,24/04/2021 00:30,1619224199999,1.1022,1619225099999,1,2.0
115165,COMPUSDT_15m_orders.xlsx,COMPUSDT,15m,bearish_divergence,2,5.86,624.35,24/04/2021 01:30,1619227799999,599.53,1619230499999,1,2.0
443272,XLMUSDT_15m_orders.xlsx,XLMUSDT,15m,bearish_divergence,2,1.92,0.44674,24/04/2021 04:15,1619237699999,0.43704,1619246699999,1,2.0
387233,STMXUSDT_15m_orders.xlsx,STMXUSDT,15m,bearish_divergence,2,6.09,0.04583,24/04/2021 06:45,1619246699999,0.04457,1619248499999,1,2.0
448513,XMRUSDT_15m_orders.xlsx,XMRUSDT,15m,bearish_divergence,2,2.03,365.26,24/04/2021 10:00,1619258399999,373.64,1619258399999,0,-2.03
127250,CTKUSDT_15m_orders.xlsx,CTKUSDT,15m,bearish_divergence,2,5.05,2.368,24/04/2021 15:30,1619278199999,2.32,1619278199999,1,2.0
382919,SRMUSDT_15m_orders.xlsx,SRMUSDT,15m,bearish_divergence,2,5.56,5.9497,25/04/2021 04:00,1619323199999,6.3899,1619349299999,0,-5.56
294108,NEARUSDT_15m_orders.xlsx,NEARUSDT,15m,bearish_divergence,2,2.22,4.7591,25/04/2021 15:45,1619365499999,4.6573,1619374499999,1,2.0
378264,SOLUSDT_15m_orders.xlsx,SOLUSDT,15m,bearish_divergence,2,3.37,46.9213,26/04/2021 01:15,1619399699999,45.559,1619401499999,1,2.0
382922,SRMUSDT_15m_orders.xlsx,SRMUSDT,15m,bearish_divergence,2,3.74,7.6528,26/04/2021 02:45,1619405099999,7.9566,1619406899999,0,-3.74
366173,SFPUSDT_15m_orders.xlsx,SFPUSDT,15m,bearish_divergence,2,3.56,2.301,26/04/2021 03:30,1619407799999,2.252,1619421299999,1,2.0
24130,ALPHAUSDT_15m_orders.xlsx,ALPHAUSDT,15m,bearish_divergence,2,1.65,1.3179,26/04/2021 07:15,1619421299999,1.34229,1619431199999,0,-1.65
403156,THETAUSDT_15m_orders.xlsx,THETAUSDT,15m,bearish_divergence,2,3.7,10.7851,26/04/2021 10:45,1619433899999,11.2844,1619440199999,0,-3.7
21027,ALICEUSDT_15m_orders.xlsx,ALICEUSDT,15m,bearish_divergence,2,3.66,9.171,26/04/2021 12:30,1619440199999,8.859,1619442899999,1,2.0
105792,CELRUSDT_15m_orders.xlsx,CELRUSDT,15m,bearish_divergence,2,6.71,0.05366,26/04/2021 13:15,1619442899999,0.05756,1619447399999,0,-6.71
4099,1INCHUSDT_15m_orders.xlsx,1INCHUSDT,15m,bearish_divergence,2,1.59,4.4977,26/04/2021 19:15,1619464499999,4.3643,1619471699999,1,2.0
448518,XMRUSDT_15m_orders.xlsx,XMRUSDT,15m,bearish_divergence,2,2.41,400.1,27/04/2021 00:45,1619484299999,410.83,1619504999999,0,-2.41
286718,MKRUSDT_15m_orders.xlsx,MKRUSDT,15m,bearish_divergence,2,1.48,4310.22,27/04/2021 07:00,1619506799999,4383.52,1619507699999,0,-1.48
147299,DENTUSDT_15m_orders.xlsx,DENTUSDT,15m,bearish_divergence,2,4.18,0.012359,27/04/2021 07:30,1619508599999,0.011936,1619509499999,1,2.0
73444,BCHUSDT_15m_orders.xlsx,BCHUSDT,15m,bearish_divergence,2,1.12,863.25,27/04/2021 07:45,1619509499999,874.65,1619522099999,0,-1.12
342792,RLCUSDT_15m_orders.xlsx,RLCUSDT,15m,bearish_divergence,2,2.44,3.1804,27/04/2021 11:15,1619522099999,3.1135,1619528399999,1,2.0
58802,BALUSDT_15m_orders.xlsx,BALUSDT,15m,bearish_divergence,2,2.23,54.911,27/04/2021 13:00,1619528399999,61.304,1619542799999,0,-2.23
63715,BANDUSDT_15m_orders.xlsx,BANDUSDT,15m,bearish_divergence,2,4.26,16.6177,27/04/2021 17:15,1619543699999,16.2145,1619552699999,1,2.0
99073,BTSUSDT_15m_orders.xlsx,BTSUSDT,15m,bearish_divergence,2,3.65,0.11784,27/04/2021 19:45,1619552699999,0.12314,1619555399999,0,-3.65
220236,ICXUSDT_15m_orders.xlsx,ICXUSDT,15m,bearish_divergence,2,2.36,2.2847,27/04/2021 23:00,1619564399999,2.3431,1619568899999,0,-2.36
195352,FTMUSDT_15m_orders.xlsx,FTMUSDT,15m,bearish_divergence,2,2.47,0.52181,28/04/2021 01:00,1619571599999,0.55,1619574299999,0,-2.47
21035,ALICEUSDT_15m_orders.xlsx,ALICEUSDT,15m,bearish_divergence,2,6.32,11.896,28/04/2021 19:15,1619637299999,11.577,1619641799999,1,2.0
52596,AXSUSDT_15m_orders.xlsx,AXSUSDT,15m,bearish_divergence,2,7.33,10.159,29/04/2021 00:30,1619656199999,9.929,1619657099999,1,2.0
422757,UNFIUSDT_15m_orders.xlsx,UNFIUSDT,15m,bearish_divergence,2,4.26,26.469,29/04/2021 02:30,1619663399999,25.926,1619668799999,1,2.0
86491,BNBUSDT_15m_orders.xlsx,BNBUSDT,15m,bearish_divergence,2,1.59,565.846,29/04/2021 04:15,1619669699999,554.066,1619672399999,1,2.0
195357,FTMUSDT_15m_orders.xlsx,FTMUSDT,15m,bearish_divergence,2,4.88,0.692456,29/04/2021 07:15,1619680499999,0.675,1619684099999,1,2.0
220240,ICXUSDT_15m_orders.xlsx,ICXUSDT,15m,bearish_divergence,2,2.92,2.4068,29/04/2021 10:00,1619690399999,2.3574,1619695799999,1,2.0
349221,RSRUSDT_15m_orders.xlsx,RSRUSDT,15m,bearish_divergence,2,3.61,0.088372,29/04/2021 11:30,1619695799999,0.086346,1619702999999,1,2.0
77911,BELUSDT_15m_orders.xlsx,BELUSDT,15m,bearish_divergence,2,1.32,3.91409,29/04/2021 13:30,1619702999999,4.08712,1619709299999,0,-1.32
58807,BALUSDT_15m_orders.xlsx,BALUSDT,15m,bearish_divergence,2,5.15,59.28,29/04/2021 17:00,1619715599999,57.85,1619720099999,1,2.0
294116,NEARUSDT_15m_orders.xlsx,NEARUSDT,15m,bearish_divergence,2,2.58,5.4495,29/04/2021 21:00,1619729999999,5.64,1619737199999,0,-2.58
294117,NEARUSDT_15m_orders.xlsx,NEARUSDT,15m,bearish_divergence,2,1.28,5.5478,29/04/2021 23:45,1619739899999,5.4184,1619741699999,1,2.0
366176,SFPUSDT_15m_orders.xlsx,SFPUSDT,15m,bearish_divergence,2,3.68,2.564,30/04/2021 00:45,1619743499999,2.5123,1619765999999,1,2.0
137813,DASHUSDT_15m_orders.xlsx,DASHUSDT,15m,bearish_divergence,2,1.25,298.31,30/04/2021 07:30,1619767799999,302.41,1619773199999,0,-1.25
189677,FLMUSDT_15m_orders.xlsx,FLMUSDT,15m,bearish_divergence,2,1.46,0.7876,30/04/2021 09:30,1619774999999,0.807,1619788499999,0,-1.46
