,Source.Name,trade_symbol,trade_interval,strategy,takeprofit,stoploss,entry_price,UTC_entry time,entry_time,close_price,close_time,win,win_percentage,action,position_count
4285,1INCHUSDT_15m_orders.xlsx,1INCHUSDT,15m,bearish_divergence_1-3,2,1.6,3.0551,11/08/2021 16:15,1628698499999,2.96,1628716499999,1,2.0,0,-1
458525,XTZUSDT_15m_orders.xlsx,XTZUSDT,15m,bearish_divergence_1-3,2,1.35,3.498,11/08/2021 16:15,1628698499999,3.555,1628711999999,0,-1.35,0,-1
186695,FILUSDT_15m_orders.xlsx,FILUSDT,15m,bearish_divergence_1-3,2,1.37,73.111,11/08/2021 18:15,1628705699999,71.615,1628717399999,1,2.0,1,8
156081,DOTUSDT_15m_orders.xlsx,DOTUSDT,15m,bearish_divergence_1-3,2,2.66,21.9,11/08/2021 18:30,1628706599999,21.0,1628720999999,1,2.0,1,9
226765,IOSTUSDT_15m_orders.xlsx,IOSTUSDT,15m,bearish_divergence_1-3,2,1.02,0.031298,11/08/2021 18:30,1628706599999,0.031833,1628712899999,0,-1.02,1,10
147434,DENTUSDT_15m_orders.xlsx,DENTUSDT,15m,bearish_divergence_1-3,2,6.05,0.004412,11/08/2021 21:00,1628715599999,0.00425,1628716499999,1,2.0,1,5
210331,HBARUSDT_15m_orders.xlsx,HBARUSDT,15m,bearish_divergence_1-3,2,2.31,0.236,11/08/2021 21:00,1628715599999,0.23,1628716499999,1,2.0,1,6
246618,KNCUSDT_15m_orders.xlsx,KNCUSDT,15m,bearish_divergence_1-3,2,2.05,1.867,11/08/2021 21:00,1628715599999,1.824,1628717399999,1,2.0,1,7
258954,LINKUSDT_15m_orders.xlsx,LINKUSDT,15m,bearish_divergence_1-3,2,1.44,26.888,11/08/2021 21:00,1628715599999,26.234,1628717399999,1,2.0,1,8
313385,OMGUSDT_15m_orders.xlsx,OMGUSDT,15m,bearish_divergence_1-3,2,1.4,5.4049,11/08/2021 21:00,1628715599999,5.2871,1628717399999,1,2.0,1,9
73616,BCHUSDT_15m_orders.xlsx,BCHUSDT,15m,bearish_divergence_1-3,2,1.82,621.47,11/08/2021 21:15,1628716499999,638.8,1628727299999,0,-1.82,1,10
137975,DASHUSDT_15m_orders.xlsx,DASHUSDT,15m,bearish_divergence_1-3,2,2.74,183.13,11/08/2021 21:15,1628716499999,188.33,1628732699999,0,-2.74,0,-1
273302,LTCUSDT_15m_orders.xlsx,LTCUSDT,15m,bearish_divergence_1-3,2,2.48,171.88,11/08/2021 21:15,1628716499999,176.68,1628729999999,0,-2.48,0,-1
378415,SOLUSDT_15m_orders.xlsx,SOLUSDT,15m,bearish_divergence_1-3,2,3.33,42.323,11/08/2021 21:15,1628716499999,41.473,1628720999999,1,2.0,0,-1
418479,TRXUSDT_15m_orders.xlsx,TRXUSDT,15m,bearish_divergence_1-3,2,2.87,0.084,11/08/2021 21:15,1628716499999,0.08189,1628720999999,1,2.0,0,-1
48666,AVAXUSDT_15m_orders.xlsx,AVAXUSDT,15m,bearish_divergence_1-3,2,3.46,16.974,11/08/2021 21:30,1628717399999,16.453,1628720999999,1,2.0,1,7
